36 36
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	4	3	5	5	5	5	5	5	5	5	5	5	5	3	3	5	5	5	5	5	5	3	5	5	5	5	3	2	6
6	9	1	5	5	5	5	5	5	5	5	5	5	5	1	1	5	5	5	5	5	5	7	5	5	5	5	1	7	6
6	7	7	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	9	5	5	5	5	2	6	6	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	5	5	3	5	5	1	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	7	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	7	6	6	7	7	6	6	4	5	5	5	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	7	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	7	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	7	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	7	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	7	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	9	5	5	5	5	1	5	5	5	16	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	6	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	7	6	6	6	6	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	12	5	5	5	6	6	6	7	7	6	6	7	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	9	1	5	5	5	5	5	5	5	5	5	5	5	1	1	5	5	5	5	5	5	1	5	5	5	5	1	8	6
6	9	1	5	5	1	5	5	5	5	5	1	5	5	1	1	5	5	5	5	5	5	1	5	5	5	5	1	8	6
6	7	7	6	6	5	6	6	6	6	6	5	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	5	6	6	6	6	6	5	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	5	6	6	6	6	6	5	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	7	7	6	6	6	6	6	6	6	6	5	6	6	7	7	6	6	6	6	6	6	7	6	6	6	6	7	7	6
6	9	1	5	5	5	5	5	5	5	5	1	5	5	1	1	5	5	5	5	5	5	1	5	5	5	5	1	8	6
6	9	1	5	5	5	5	5	5	5	5	5	5	5	1	1	5	5	5	5	5	5	1	5	5	5	5	1	8	6
6	12	11	5	5	5	5	5	5	5	5	5	5	5	11	11	5	5	5	5	5	5	11	5	5	5	5	11	16	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6










